Time stamp,Water volume in tunnel V (m3),Inflow to tunnel F1 (m3/15 min),Outflow (m3/15 min),Pump efficiency 1.1 (kW),Pump efficiency 1.2 (kW),Pump efficiency 1.3 (kW),Pump efficiency 1.4 (kW),Pump efficiency 2.1 (kW),Pump efficiency 2.2 (kW),Pump efficiency 2.3 (kW),Pump efficiency 2.4 (kW),Pump flow 1.1 (m3/15 min),Pump flow 1.2 (m3/15 min),Pump flow 1.3 (m3/15 min),Pump flow 1.4 (m3/15 min),Pump flow 2.1 (m3/15 min),Pump flow 2.2 (m3/15 min),Pump flow 2.3 (m3/15 min),Pump flow 2.4 (m3/15 min),Electricity price 2: normal (EUR/kWh),Electricity price 1: high (EUR/kWh)
2024-11-15 13:30:00,57656.04168701172864075488180,1190.183715820309998889570124447345733642578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3689999999999999946709294817992486059665679931640625,76.8479999999999989768184605054557323455810546875
2024-11-15 13:45:00,58847.75311279297864075488180,1191.71142578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3689999999999999946709294817992486059665679931640625,76.8479999999999989768184605054557323455810546875
2024-11-15 14:00:00,60028.79364013672864075488180,1181.04052734375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39400000000000001687538997430237941443920135498046875,68.1929999999999978399500832892954349517822265625
2024-11-15 14:15:00,61167.27618408203863964445192,1138.482543945309998889570124447345733642578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39400000000000001687538997430237941443920135498046875,68.1929999999999978399500832892954349517822265625
2024-11-15 14:30:00,62296.44366455078863964445192,1129.16748046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39400000000000001687538997430237941443920135498046875,68.1929999999999978399500832892954349517822265625
2024-11-15 14:45:00,63438.22515869141864186531167,1141.78149414063000222085975110530853271484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39400000000000001687538997430237941443920135498046875,68.1929999999999978399500832892954349517822265625
2024-11-15 15:00:00,64615.63616943360864297574155,1177.411010742190001110429875552654266357421875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50700000000000000621724893790087662637233734130859375,62.9309999999999973852027324028313159942626953125
2024-11-15 15:15:00,65709.29852294923864519660130,1093.66235351563000222085975110530853271484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50700000000000000621724893790087662637233734130859375,62.9309999999999973852027324028313159942626953125
2024-11-15 15:30:00,66537.59948730470762257027674,828.300964355468977373675443232059478759765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50700000000000000621724893790087662637233734130859375,62.9309999999999973852027324028313159942626953125
2024-11-15 15:45:00,67921.18188476564762368070662,1383.582397460940001110429875552654266357421875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50700000000000000621724893790087662637233734130859375,62.9309999999999973852027324028313159942626953125
2024-11-15 16:00:00,69182.16052246095762257027674,1260.978637695309998889570124447345733642578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83799999999999996713739847109536640346050262451171875,49.4470000000000027284841053187847137451171875
2024-11-15 16:15:00,70327.11779785158762479113649,1144.95727539063000222085975110530853271484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83799999999999996713739847109536640346050262451171875,49.4470000000000027284841053187847137451171875
2024-11-15 16:30:00,71463.98022460939762368070661,1136.862426757809998889570124447345733642578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83799999999999996713739847109536640346050262451171875,49.4470000000000027284841053187847137451171875
2024-11-15 16:45:00,72576.41247558595762257027673,1112.432250976559998889570124447345733642578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83799999999999996713739847109536640346050262451171875,49.4470000000000027284841053187847137451171875
2024-11-15 17:00:00,73673.31384277345762257027673,1096.9013671875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90600000000000002753353101070388220250606536865234375,51.6340000000000003410605131648480892181396484375
2024-11-15 17:15:00,74765.07006835939762368070661,1091.756225585940001110429875552654266357421875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90600000000000002753353101070388220250606536865234375,51.6340000000000003410605131648480892181396484375
